batch-size,test-ratio,hop,max-nodes-per-hop,use-embedding,sortpooling-k,hidden-units,dropout-enabled,epochs,learning-rate
50,0.2,1,None,False,0.6,128,True,50,0.0005

Training, , , , , ,Validation, , , , , ,Test, , , 
epoch,loss,acc,auc, , ,epoch,loss,acc,auc, , ,epoch,loss,acc,auc
1,0.6924425840377808,0.492,0.5261776753712237, , ,1,0.6881412863731384,0.625,0.7578125, , ,1,0.6881576701998711,0.6125,0.8118749999999999
2,0.6981825470924378,0.468,0.4567332309267793, , ,2,0.6857529878616333,0.6875,0.78515625, , ,2,0.6882391199469566,0.6625,0.750625
3,0.6940613865852356,0.532,0.5213133640552996, , ,3,0.6843509078025818,0.5,0.77734375, , ,3,0.6885428875684738,0.525,0.719375
4,0.6941033005714417,0.5,0.5117767537122375, , ,4,0.6820541620254517,0.5,0.796875, , ,4,0.6874004080891609,0.5,0.704375
5,0.6852763772010804,0.58,0.5942140296979006, , ,5,0.6781619191169739,0.71875,0.796875, , ,5,0.6852868944406509,0.7125,0.69375
6,0.6820330858230591,0.596,0.638952892985151, , ,6,0.6728194355964661,0.6875,0.7890625, , ,6,0.6821668446063995,0.6625,0.6968749999999999
7,0.6763313412666321,0.632,0.6667306707629288, , ,7,0.6679935455322266,0.6875,0.79296875, , ,7,0.6795438528060913,0.6625,0.688125
8,0.6754924297332764,0.624,0.6449692780337941, , ,8,0.6628411412239075,0.6875,0.7890625, , ,8,0.6761261001229286,0.65,0.696875
9,0.6719940900802612,0.596,0.6629544290834614, , ,9,0.6582972407341003,0.65625,0.7890625, , ,9,0.672917976975441,0.6375,0.7000000000000001
10,0.660352098941803,0.668,0.7283666154633895, , ,10,0.6510732769966125,0.6875,0.7890625, , ,10,0.6692054271697998,0.625,0.69625
11,0.6629151344299317,0.608,0.6780593958013312, , ,11,0.6438513398170471,0.65625,0.7890625, , ,11,0.6637163683772087,0.625,0.701875
12,0.6455784440040588,0.672,0.7414234511008705, , ,12,0.6350728273391724,0.65625,0.7890625, , ,12,0.6573626026511192,0.6375,0.708125
13,0.6557790637016296,0.644,0.6865719406041987, , ,13,0.6315633058547974,0.6875,0.78125, , ,13,0.6514903530478477,0.6375,0.7112499999999999
14,0.6405418395996094,0.664,0.7224142345110086, , ,14,0.6271681785583496,0.65625,0.7734375, , ,14,0.6457802206277847,0.6375,0.713125
15,0.6424160003662109,0.66,0.7018689196108551, , ,15,0.6179611086845398,0.65625,0.78515625, , ,15,0.6355654820799828,0.65,0.7337499999999999
16,0.622978663444519,0.66,0.739247311827957, , ,16,0.6066198348999023,0.65625,0.79296875, , ,16,0.6240883395075798,0.65,0.758125
17,0.6201847195625305,0.656,0.739247311827957, , ,17,0.5962852239608765,0.65625,0.8046875, , ,17,0.6116241291165352,0.6875,0.784375
18,0.6097268223762512,0.692,0.7624807987711214, , ,18,0.5832945108413696,0.65625,0.8125, , ,18,0.6021270453929901,0.7125,0.7943749999999999
19,0.5894393682479858,0.696,0.7871223758320532, , ,19,0.5689612030982971,0.71875,0.82421875, , ,19,0.5891609564423561,0.725,0.798125
20,0.5860046505928039,0.712,0.789490527393753, , ,20,0.5534888505935669,0.78125,0.8359375, , ,20,0.5740545317530632,0.7375,0.82125
21,0.5619025707244873,0.748,0.812147977470558, , ,21,0.5314200520515442,0.78125,0.84375, , ,21,0.5567107573151588,0.725,0.829375
22,0.5601909756660461,0.752,0.808179723502304, , ,22,0.5149666666984558,0.8125,0.8671875, , ,22,0.5369533449411392,0.8,0.855
23,0.5272250771522522,0.76,0.8421018945212493, , ,23,0.4921848177909851,0.78125,0.87109375, , ,23,0.5251915231347084,0.8125,0.8456250000000001
24,0.5218532502651214,0.768,0.8341013824884793, , ,24,0.47446465492248535,0.8125,0.8828125, , ,24,0.5063159763813019,0.8125,0.853125
25,0.5012546300888061,0.784,0.8453661034306196, , ,25,0.4481770396232605,0.8125,0.89453125, , ,25,0.49615413323044777,0.8,0.85875
26,0.4761729180812836,0.796,0.8693036354326678, , ,26,0.4255433976650238,0.8125,0.9140625, , ,26,0.4801522083580494,0.775,0.8675
27,0.46653699278831484,0.808,0.8679595494111623, , ,27,0.41298553347587585,0.78125,0.91796875, , ,27,0.4770834781229496,0.7875,0.865
28,0.437491250038147,0.808,0.8888888888888887, , ,28,0.3938146233558655,0.8125,0.921875, , ,28,0.4939080476760864,0.775,0.8512500000000001
29,0.4461130082607269,0.808,0.8732718894009217, , ,29,0.3788243234157562,0.84375,0.9296875, , ,29,0.47402114421129227,0.7875,0.859375
30,0.41891754865646363,0.816,0.8935611879160266, , ,30,0.36400967836380005,0.8125,0.93359375, , ,30,0.4775921180844307,0.7625,0.8656250000000001
31,0.4217265725135803,0.808,0.8894649257552483, , ,31,0.35657986998558044,0.8125,0.9375, , ,31,0.47732648998498917,0.7625,0.8687499999999999
32,0.41647145748138426,0.8,0.8949052739375319, , ,32,0.35113298892974854,0.8125,0.9375, , ,32,0.4809274934232235,0.775,0.865625
33,0.40106799602508547,0.808,0.9014976958525345, , ,33,0.3457021713256836,0.84375,0.94140625, , ,33,0.47238172590732574,0.775,0.8706250000000001
34,0.41138532757759094,0.82,0.8955453149001537, , ,34,0.34203100204467773,0.84375,0.94140625, , ,34,0.4705743044614792,0.8,0.87
35,0.4012407183647156,0.82,0.8970814132104455, , ,35,0.3375362753868103,0.84375,0.94140625, , ,35,0.4708864353597164,0.8,0.8724999999999999
36,0.37871683239936826,0.836,0.9109703020993343, , ,36,0.3319803774356842,0.84375,0.94140625, , ,36,0.4626127891242504,0.8125,0.87625
37,0.4044560074806213,0.82,0.8950332821300563, , ,37,0.3281896710395813,0.84375,0.94140625, , ,37,0.4664546102285385,0.7875,0.8775
38,0.40350344181060793,0.828,0.902073732718894, , ,38,0.3237948417663574,0.84375,0.9453125, , ,38,0.4666990824043751,0.8,0.8768750000000001
39,0.39240689277648927,0.828,0.90284178187404, , ,39,0.3218144178390503,0.84375,0.9453125, , ,39,0.467539768666029,0.775,0.87625
40,0.3786287307739258,0.816,0.9173067076292882, , ,40,0.32131215929985046,0.875,0.9453125, , ,40,0.47302044555544853,0.7875,0.8768750000000001
41,0.3984063506126404,0.816,0.9027137736815157, , ,41,0.3227161765098572,0.84375,0.953125, , ,41,0.4591214880347252,0.8,0.881875
42,0.35615145564079287,0.856,0.9240911418330774, , ,42,0.3218521773815155,0.875,0.94921875, , ,42,0.47580695897340775,0.7625,0.8768750000000001
43,0.37726507186889646,0.836,0.9117383512544803, , ,43,0.31839463114738464,0.84375,0.95703125, , ,43,0.4608288072049618,0.8,0.8737499999999999
44,0.37428409457206724,0.82,0.9147465437788018, , ,44,0.31809201836586,0.875,0.9453125, , ,44,0.4845173880457878,0.775,0.8775
45,0.3807314455509186,0.848,0.909626216077829, , ,45,0.3171038031578064,0.8125,0.95703125, , ,45,0.4573330394923687,0.8125,0.878125
46,0.36858928203582764,0.852,0.9156426011264721, , ,46,0.31360241770744324,0.875,0.94921875, , ,46,0.48123157024383545,0.775,0.878125
47,0.3613084614276886,0.848,0.9173067076292882, , ,47,0.3103410303592682,0.84375,0.95703125, , ,47,0.4717063158750534,0.775,0.87625
48,0.36441739201545714,0.848,0.9184587813620072, , ,48,0.3092910945415497,0.875,0.95703125, , ,48,0.4767705090343952,0.7625,0.875625
49,0.3605451822280884,0.84,0.9192908346134153, , ,49,0.30850154161453247,0.875,0.95703125, , ,49,0.47323980554938316,0.775,0.875
50,0.3633981704711914,0.848,0.9190348182283666, , ,50,0.3062764108181,0.875,0.95703125, , ,50,0.46952440217137337,0.7875,0.8750000000000001
