batch-size,test-ratio,hop,max-nodes-per-hop,use-embedding,sortpooling-k,hidden-units,dropout-enabled,epochs,learning-rate
1,0.2,1,None,False,0.6,128,True,50,0.001

Training, , , , , ,Validation, , , , , ,Test, , , 
epoch,loss,acc,auc, , ,epoch,loss,acc,auc, , ,epoch,loss,acc,auc
1,0.6833444910848306,0.5729166666666666,0.5982349537037036, , ,1,0.6430107951164246,0.59375,0.76953125, , ,1,0.679387129843235,0.5375,0.670625
2,0.6690472051915195,0.6076388888888888,0.6209972993827161, , ,2,0.6179025173187256,0.625,0.75390625, , ,2,0.6466416418552399,0.625,0.7200000000000001
3,0.6439763998043619,0.6215277777777778,0.676070601851852, , ,3,0.6134318113327026,0.625,0.74609375, , ,3,0.655557207763195,0.6375,0.7075
4,0.6459562683012336,0.6458333333333334,0.6790605709876543, , ,4,0.5884511470794678,0.65625,0.7890625, , ,4,0.6397524625062943,0.6625,0.686875
5,0.6814373304756979,0.5902777777777778,0.6197916666666666, , ,5,0.6754618883132935,0.5625,0.62109375, , ,5,0.6752234175801277,0.6125,0.6418750000000001
6,0.6859216552434696,0.5555555555555556,0.5789930555555556, , ,6,0.689131498336792,0.5625,0.64453125, , ,6,0.6886269226670265,0.5625,0.61625
7,0.6606473475694656,0.6145833333333334,0.6418306327160493, , ,7,0.6660851836204529,0.5625,0.7265625, , ,7,0.6736970320343971,0.6,0.650625
8,0.6680798198406895,0.6215277777777778,0.6418788580246912, , ,8,0.6843863129615784,0.53125,0.62109375, , ,8,0.6669187769293785,0.6125,0.659375
9,0.6472238930356171,0.6111111111111112,0.6663290895061729, , ,9,0.618854820728302,0.65625,0.72265625, , ,9,0.6277413293719292,0.65,0.7075
10,0.6659922469924722,0.6180555555555556,0.6487268518518519, , ,10,0.6157622933387756,0.65625,0.765625, , ,10,0.624118261039257,0.725,0.7575000000000001
11,0.616797435317292,0.6354166666666666,0.7175925925925926, , ,11,0.5619332790374756,0.71875,0.8203125, , ,11,0.5830261781811714,0.7125,0.7875000000000001
12,0.6359854213272532,0.6666666666666666,0.7126736111111112, , ,12,0.5770086050033569,0.71875,0.7734375, , ,12,0.5778277516365051,0.7375,0.746875
13,0.5821984997536573,0.6979166666666666,0.7645158179012347, , ,13,0.512305498123169,0.75,0.85546875, , ,13,0.5204463973641396,0.7375,0.8312499999999999
14,0.6114859162415895,0.6840277777777778,0.740306712962963, , ,14,0.519625186920166,0.8125,0.8203125, , ,14,0.5276571065187454,0.75,0.819375
15,0.5962290971332954,0.6909722222222222,0.7532793209876542, , ,15,0.5422510504722595,0.78125,0.8046875, , ,15,0.5326362699270248,0.7875,0.8262499999999999
16,0.6064350118524291,0.6805555555555556,0.7365933641975309, , ,16,0.5864730477333069,0.6875,0.78515625, , ,16,0.5937541127204895,0.7,0.7675
17,0.5851566417970591,0.7118055555555556,0.7556905864197532, , ,17,0.499197393655777,0.78125,0.83984375, , ,17,0.5243027433753014,0.7375,0.825
18,0.5740012277771408,0.7326388888888888,0.769724151234568, , ,18,0.5751135349273682,0.71875,0.7578125, , ,18,0.5881182253360748,0.7125,0.743125
19,0.576116661298632,0.7256944444444444,0.7615740740740741, , ,19,0.5441036820411682,0.8125,0.79296875, , ,19,0.5618102848529816,0.75,0.755625
20,0.5510822248438166,0.7291666666666666,0.7899305555555555, , ,20,0.6164405345916748,0.71875,0.78125, , ,20,0.6176379695534706,0.6875,0.77375
21,0.5788451527348824,0.7152777777777778,0.7611400462962962, , ,21,0.5859841108322144,0.71875,0.78125, , ,21,0.5536499544978142,0.75,0.800625
22,0.5937152046115242,0.6840277777777778,0.7392939814814815, , ,22,0.5738735198974609,0.78125,0.7890625, , ,22,0.5427008718252182,0.75,0.803125
23,0.6103329681403314,0.6736111111111112,0.7273823302469136, , ,23,0.6093332171440125,0.71875,0.765625, , ,23,0.5870403796434402,0.7125,0.7787499999999999
24,0.5989238463937201,0.6805555555555556,0.74585262345679, , ,24,0.6024787425994873,0.625,0.73828125, , ,24,0.5836571976542473,0.675,0.7725
25,0.5847265823200966,0.7083333333333334,0.7611882716049382, , ,25,0.5534386038780212,0.78125,0.79296875, , ,25,0.5424440801143646,0.725,0.8187500000000001
26,0.6083736654383958,0.6840277777777778,0.7363040123456791, , ,26,0.5755437612533569,0.71875,0.79296875, , ,26,0.5717031881213188,0.7375,0.8049999999999999
27,0.5445662281700707,0.7569444444444444,0.795138888888889, , ,27,0.6225934028625488,0.6875,0.74609375, , ,27,0.6144738793373108,0.7125,0.750625
28,0.5501941242004654,0.7465277777777778,0.7912326388888888, , ,28,0.5999307632446289,0.71875,0.76171875, , ,28,0.5667858049273491,0.7125,0.755
29,0.5397244152085882,0.75,0.7997202932098765, , ,29,0.5584741234779358,0.84375,0.796875, , ,29,0.5719306021928787,0.725,0.7693750000000001
30,0.5495377168634958,0.75,0.7941261574074074, , ,30,0.5626856684684753,0.78125,0.7890625, , ,30,0.5626578480005264,0.7375,0.763125
31,0.5545072582454951,0.7569444444444444,0.7866994598765432, , ,31,0.5722485184669495,0.78125,0.7890625, , ,31,0.5651159659028053,0.7125,0.753125
32,0.5407143418787099,0.7638888888888888,0.7975019290123457, , ,32,0.616752028465271,0.6875,0.73828125, , ,32,0.5984062626957893,0.675,0.733125
33,0.5379467853619846,0.7465277777777778,0.7978395061728396, , ,33,0.5881717205047607,0.71875,0.78125, , ,33,0.5893490090966225,0.7,0.756875
34,0.5489571061496261,0.7465277777777778,0.7961998456790124, , ,34,0.571027934551239,0.75,0.796875, , ,34,0.533418782055378,0.775,0.795625
35,0.5490523941027479,0.7638888888888888,0.7959587191358025, , ,35,0.5589553117752075,0.8125,0.796875, , ,35,0.5703978836536407,0.7625,0.756875
36,0.5241321524501674,0.7604166666666666,0.8109567901234568, , ,36,0.5579508543014526,0.78125,0.81640625, , ,36,0.557395450770855,0.7375,0.786875
37,0.5595329361288653,0.7465277777777778,0.7789351851851851, , ,37,0.49559658765792847,0.78125,0.83203125, , ,37,0.4807881787419319,0.8,0.858125
38,0.5279000268589394,0.7569444444444444,0.8149112654320988, , ,38,0.5426234006881714,0.71875,0.81640625, , ,38,0.5495069772005081,0.7375,0.8143750000000001
39,0.5487593586432113,0.75,0.7913290895061729, , ,39,0.5453451871871948,0.71875,0.8046875, , ,39,0.5351270884275436,0.775,0.788125
40,0.5342058385010913,0.7534722222222222,0.7997685185185185, , ,40,0.5008072853088379,0.78125,0.83203125, , ,40,0.5035196579992771,0.7875,0.834375
41,0.5174426723974143,0.78125,0.8162615740740741, , ,41,0.5266269445419312,0.8125,0.80078125, , ,41,0.551360122859478,0.7625,0.770625
42,0.5252927759146486,0.7777777777777778,0.8109085648148148, , ,42,0.5519368052482605,0.75,0.80859375, , ,42,0.5694979950785637,0.7125,0.7981250000000001
43,0.5556456780226048,0.7604166666666666,0.7776813271604939, , ,43,0.503637969493866,0.8125,0.8359375, , ,43,0.5021997056901455,0.775,0.8431249999999999
44,0.5234504069048853,0.7708333333333334,0.802469135802469, , ,44,0.5288723707199097,0.78125,0.8203125, , ,44,0.5139290019869804,0.775,0.823125
45,0.5405852166085323,0.7569444444444444,0.7823109567901234, , ,45,0.5629451870918274,0.71875,0.8046875, , ,45,0.5370617881417274,0.7625,0.7943749999999998
46,0.5432675743148947,0.7569444444444444,0.7919077932098765, , ,46,0.5137559175491333,0.8125,0.80078125, , ,46,0.5174388438463211,0.7625,0.78
47,0.5234942157581423,0.7569444444444444,0.8041087962962963, , ,47,0.5597662925720215,0.78125,0.79296875, , ,47,0.5612338073551655,0.725,0.8093750000000001
48,0.5424694251285271,0.7465277777777778,0.7885320216049382, , ,48,0.5435697436332703,0.75,0.7578125, , ,48,0.5070008486509323,0.7875,0.79125
49,0.5429889466581194,0.7465277777777778,0.8000578703703703, , ,49,0.5618656873703003,0.71875,0.79296875, , ,49,0.5315306559205055,0.7625,0.7887500000000001
50,0.5536493227413707,0.7465277777777778,0.7784529320987654, , ,50,0.4887487590312958,0.8125,0.87109375, , ,50,0.5172931514680386,0.7875,0.84375
